Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,11,10,13,24,32,36,37,34,29,22,12,14,37
Monthly max,-1.3,1.9,7.3,16.6,24.8,29.5,29.4,26.7,20.7,12.7,0.4,0.1,30.8
Daily max,-17.4,-11.3,-3.9,7.6,16.7,22.1,22.6,19.1,12.9,1.2,-10.9,-15.4,3.6
Daily mean,-22.4,-17.7,-11.8,0.9,10.2,16.1,17.2,13.9,7.7,-3.2,-15.5,-20.2,-2.1
Daily min,-27.3,-24.0,-19.7,-5.7,3.7,10.1,11.7,8.7,2.3,-7.6,-20.1,-25.0,-7.7
Monthly min,-41.8,-37.8,-32.9,-19.1,-3.2,4.6,6.8,2.3,-4.8,-19.4,-32.2,-38.1,-43.2
Record low,-54,-50,-49,-36,-18,-2,-1,-6,-16,-33,-48,-52,-54
Precipitation,15,13,10,8.6,14,38,57,53,34,19,19,14,296
Snowfall,26,25,17,7.9,2.3,0,0,0,5.8,21,32,28,164
Rainy days,8.7,6.9,5.7,3.7,6.2,10.8,12.8,13.5,10.7,9.8,9.5,8.8,107.1
Snowy days,10.2,8.3,6.7,2.6,0.6,0,0,0,1.3,8.3,11.2,10.4,59.6
Humidity,69.3,65.5,60.4,56.2,50.2,56.6,64.2,70.8,68.9,74.1,72.8,71.3,65.0
Dew point,-27.2,-24.4,-17.9,-8.8,-1.3,5.9,9.3,7.8,1.4,-8.1,-19.9,-25.1,-9.0
Sunshine hours,54,120,224,302,319,334,274,164,122,85,71,36,2105
